	commit_id	author	timestamp	modified_files	broken_files
0	01152449	['Barbara Simpson']	20/09/13 13:14	[<File international.wav>, <File also.mp3>, <File building.gif>, <File player.pptx>, <File agent.wav>]	[<File international.wav>, <File also.mp3>, <File agent.wav>]
1	01152449	['Melanie Bush']	20/09/13 13:30	[<File also.mp3>, <File major.mov>, <File agent.wav>, <File first.key>]	[<File also.mp3>, <File agent.wav>, <File first.key>]
2	01152449	['Barbara Simpson']	20/09/13 13:33	[<File also.mp3>, <File success.xls>, <File agent.wav>, <File first.key>]	[<File also.mp3>, <File success.xls>, <File agent.wav>, <File first.key>]
3	01152449	['Ellen Conrad']	20/09/13 13:43	[<File international.wav>, <File building.gif>, <File player.pptx>, <File agent.wav>, <File first.key>]	[<File international.wav>, <File building.gif>, <File agent.wav>, <File first.key>]
4	01152449	['Barbara Simpson']	20/09/13 13:45	[<File international.wav>, <File player.pptx>, <File agent.wav>, <File first.key>]	[<File international.wav>, <File player.pptx>, <File first.key>]
5	01152449	['Melanie Bush']	20/09/13 13:46	[<File also.mp3>, <File player.pptx>, <File first.key>]	[<File also.mp3>, <File player.pptx>, <File first.key>]
6	01152449	['Eric Mora']	20/09/13 13:48	[<File international.wav>, <File also.mp3>, <File building.gif>, <File player.pptx>, <File agent.wav>]	[<File international.wav>, <File also.mp3>, <File agent.wav>]
7	01152449	['Melanie Bush']	20/09/13 13:50	[<File international.wav>, <File also.mp3>, <File success.xls>, <File player.pptx>, <File agent.wav>, <File husband.csv>]	[<File international.wav>, <File also.mp3>, <File success.xls>, <File agent.wav>, <File husband.csv>]
8	01152449	['Melanie Bush']	20/09/13 13:50	[<File international.wav>, <File also.mp3>, <File player.pptx>, <File first.key>]	[<File international.wav>, <File also.mp3>, <File player.pptx>, <File first.key>]
9	01152449	['Eric Mora']	20/09/13 13:50	[<File international.wav>, <File agent.wav>, <File first.key>]	[<File international.wav>, <File agent.wav>, <File first.key>]
